height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 508
P.y = 20.000000, Pt.y = 0.000000, Q.y = 20.000000, Qt.y = 0.000000, R.y = 20.000000, Rt.y = 0.000000, S.y = 20.000000, St.y = 0.000000
P.y = 20.000000, Pt.y = 0.000000, Q.y = 20.000000, Qt.y = 0.000000, R.y = 20.000000, Rt.y = 0.000000, S.y = 20.000000, St.y = 0.000000
P.y = 19.999907, Pt.y = 0.000000, Q.y = 19.999907, Qt.y = 0.000000, R.y = 19.999907, Rt.y = 0.000000, S.y = 19.999907, St.y = 0.000000
P.y = 19.999624, Pt.y = 0.000000, Q.y = 19.999624, Qt.y = 0.000000, R.y = 19.999624, Rt.y = 0.000000, S.y = 19.999624, St.y = 0.000000
P.y = 19.999153, Pt.y = 0.000000, Q.y = 19.999153, Qt.y = 0.000000, R.y = 19.999153, Rt.y = 0.000000, S.y = 19.999153, St.y = 0.000000
P.y = 19.998495, Pt.y = 0.000000, Q.y = 19.998495, Qt.y = 0.000000, R.y = 19.998495, Rt.y = 0.000000, S.y = 19.998495, St.y = 0.000000
P.y = 19.997648, Pt.y = 0.000000, Q.y = 19.997648, Qt.y = 0.000000, R.y = 19.997648, Rt.y = 0.000000, S.y = 19.997648, St.y = 0.000000
P.y = 19.996613, Pt.y = 0.000000, Q.y = 19.996613, Qt.y = 0.000000, R.y = 19.996613, Rt.y = 0.000000, S.y = 19.996613, St.y = 0.000000
P.y = 19.995390, Pt.y = 0.000000, Q.y = 19.995390, Qt.y = 0.000000, R.y = 19.995390, Rt.y = 0.000000, S.y = 19.995390, St.y = 0.000000
P.y = 19.993979, Pt.y = 0.000000, Q.y = 19.993979, Qt.y = 0.000000, R.y = 19.993979, Rt.y = 0.000000, S.y = 19.993979, St.y = 0.000000
P.y = 19.992378, Pt.y = 0.000000, Q.y = 19.992378, Qt.y = 0.000000, R.y = 19.992378, Rt.y = 0.000000, S.y = 19.992378, St.y = 0.000000
P.y = 19.990591, Pt.y = 0.000000, Q.y = 19.990591, Qt.y = 0.000000, R.y = 19.990591, Rt.y = 0.000000, S.y = 19.990591, St.y = 0.000000
P.y = 19.988615, Pt.y = 0.000000, Q.y = 19.988615, Qt.y = 0.000000, R.y = 19.988615, Rt.y = 0.000000, S.y = 19.988615, St.y = 0.000000
P.y = 19.986450, Pt.y = 0.000000, Q.y = 19.986450, Qt.y = 0.000000, R.y = 19.986450, Rt.y = 0.000000, S.y = 19.986450, St.y = 0.000000
P.y = 19.984098, Pt.y = 0.000000, Q.y = 19.984098, Qt.y = 0.000000, R.y = 19.984098, Rt.y = 0.000000, S.y = 19.984098, St.y = 0.000000
P.y = 19.981558, Pt.y = 0.000000, Q.y = 19.981558, Qt.y = 0.000000, R.y = 19.981558, Rt.y = 0.000000, S.y = 19.981558, St.y = 0.000000
P.y = 19.978828, Pt.y = 0.000000, Q.y = 19.978828, Qt.y = 0.000000, R.y = 19.978828, Rt.y = 0.000000, S.y = 19.978828, St.y = 0.000000
P.y = 19.975912, Pt.y = 0.000000, Q.y = 19.975912, Qt.y = 0.000000, R.y = 19.975912, Rt.y = 0.000000, S.y = 19.975912, St.y = 0.000000
P.y = 19.972807, Pt.y = 0.000000, Q.y = 19.972807, Qt.y = 0.000000, R.y = 19.972807, Rt.y = 0.000000, S.y = 19.972807, St.y = 0.000000
P.y = 19.969513, Pt.y = 0.000000, Q.y = 19.969513, Qt.y = 0.000000, R.y = 19.969513, Rt.y = 0.000000, S.y = 19.969513, St.y = 0.000000
P.y = 19.966032, Pt.y = 0.000000, Q.y = 19.966032, Qt.y = 0.000000, R.y = 19.966032, Rt.y = 0.000000, S.y = 19.966032, St.y = 0.000000
P.y = 19.962362, Pt.y = 0.000000, Q.y = 19.962362, Qt.y = 0.000000, R.y = 19.962362, Rt.y = 0.000000, S.y = 19.962362, St.y = 0.000000
P.y = 19.958504, Pt.y = 0.000000, Q.y = 19.958504, Qt.y = 0.000000, R.y = 19.958504, Rt.y = 0.000000, S.y = 19.958504, St.y = 0.000000
